# Date	Open	High	Low	Close	Volume	MA200	MA50	EMA26	EMA13	FastMACD	SlowMACD	MACDHistogram	ImpulseIndex	CloseSlope	CloseMin14	CloseMax14	FastStochasticK	FastStochasticD	SlowStochasticK	SlowStochasticD
1995-05-16	21.118164	21.118164	21.118164	12.451804	600	12.4518	12.4518	12.451804	12.451804	0	0	0	0	12.4518	12.451804	12.451804	0	0	0	0
1995-05-17	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-1.24523e-12	-2.49045e-13	-9.96181e-13	-1	0	12.451804	12.451804	0	0	0	0
1995-05-18	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-2.39808e-12	-6.78853e-13	-1.71923e-12	0	0	12.451804	12.451804	0	0	0	0
1995-05-19	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-3.46567e-12	-1.23622e-12	-2.22946e-12	0	0	12.451804	12.451804	0	0	0	0
1995-05-22	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-4.45333e-12	-1.87964e-12	-2.57369e-12	0	0	12.451804	12.451804	0	0	0	0
1995-05-23	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-5.36815e-12	-2.57734e-12	-2.79081e-12	0	0	12.451804	12.451804	0	0	0	0
1995-05-24	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-6.21547e-12	-3.30497e-12	-2.91051e-12	0	0	12.451804	12.451804	0	0	0	0
1995-05-25	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-6.99885e-12	-4.04374e-12	-2.9551e-12	0	0	12.451804	12.451804	0	0	0	0
1995-05-26	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-7.72538e-12	-4.78007e-12	-2.94531e-12	0	0	12.451804	12.451804	0	0	0	0
1995-05-30	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-8.39684e-12	-5.50342e-12	-2.89342e-12	0	0	12.451804	12.451804	0	0	0	0
1995-05-31	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-9.01856e-12	-6.20645e-12	-2.81211e-12	0	0	12.451804	12.451804	0	0	0	0
1995-06-01	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-9.59588e-12	-6.88434e-12	-2.71154e-12	0	0	12.451804	12.451804	0	0	0	0
1995-06-02	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-1.01288e-11	-7.53323e-12	-2.59556e-12	0	0	12.451804	12.451804	0	0	0	0
1995-06-05	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-1.06226e-11	-8.1511e-12	-2.47151e-12	0	0	12.451804	12.451804	0	0	0	0
1995-06-06	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-1.10809e-11	-8.73707e-12	-2.34385e-12	0	0	12.451804	12.451804	0	0	0	0
1995-06-07	21.118164	21.118164	21.118164	12.451804	0	12.4518	12.4518	12.4518	12.4518	-1.15055e-11	-9.29075e-12	-2.21472e-12	0	0	12.451804	12.451804	0	0	0	0
